id,preferred_name,protein_size,annotation
9685.ENSFCAP00000051093,MPC1,109,Mitochondrial pyruvate carrier; Mediates the uptake of pyruvate into mitochondria. Belongs to the mitochondrial pyruvate carrier (MPC) (TC 2.A.105) family.
9685.ENSFCAP00000051095,PSME2,253,Proteasome activator subunit 2.
9685.ENSFCAP00000051096,COP1,728,COP1 E3 ubiquitin ligase.
9685.ENSFCAP00000051097,MRNIP,348,MRN complex interacting protein.
9685.ENSFCAP00000051099,SLC35F4,485,Solute carrier family 35 member F4.
9685.ENSFCAP00000051102,KLRD1,186,Killer cell lectin like receptor D1.
9685.ENSFCAP00000051111,ENSFCAP00000051111,78,Uncharacterized protein.
9685.ENSFCAP00000051118,ENSFCAP00000051118,87,KRAB domain-containing protein.
9685.ENSFCAP00000051121,INAFM2,152,InaF motif containing 2.
9685.ENSFCAP00000051126,PROB1,1021,Proline rich basic protein 1.
9685.ENSFCAP00000051128,ENSFCAP00000051128,108,Uncharacterized protein.
9685.ENSFCAP00000051130,KPNA1,564,Importin subunit alpha; Functions in nuclear protein import.
9685.ENSFCAP00000051133,C20orf202,122,Chromosome 20 open reading frame 202.
9685.ENSFCAP00000051134,ARL8A,186,ADP ribosylation factor like GTPase 8A; Belongs to the small GTPase superfamily. Arf family.
9685.ENSFCAP00000051145,FRMD1,628,FERM domain-containing protein.
9685.ENSFCAP00000051147,MAP2K5,448,Uncharacterized protein; Belongs to the protein kinase superfamily.
9685.ENSFCAP00000051149,MME,749,Membrane metalloendopeptidase.
9685.ENSFCAP00000051150,IQCF2,161,IQ motif containing F2.
9685.ENSFCAP00000051155,HSF2BP,334,Heat shock transcription factor 2 binding protein.
9685.ENSFCAP00000051156,IRF2BP2,575,Interferon regulatory factor 2 binding protein 2.
9685.ENSFCAP00000051157,MOG,245,Myelin-oligodendrocyte glycoprotein; Minor component of the myelin sheath. May be involved in completion and/or maintenance of the myelin sheath and in cell-cell communication. Mediates homophilic cell-cell adhesion. Belongs to the immunoglobulin superfamily. BTN/MOG family.
9685.ENSFCAP00000051158,NUP93,827,Nuclear pore complex protein Nup93; Plays a role in the nuclear pore complex (NPC) assembly and/or maintenance; Belongs to the nucleoporin interacting component (NIC) family.
9685.ENSFCAP00000051163,ZBTB47-2,460,BTB domain-containing protein.
9685.ENSFCAP00000051165,FAM205A,1294,Uncharacterized protein.
9685.ENSFCAP00000051169,DOCK9,2132,Dedicator of cytokinesis 9; Belongs to the DOCK family.
9685.ENSFCAP00000051170,KCNIP4,250,Potassium voltage-gated channel interacting protein 4.
9685.ENSFCAP00000051171,LOC101080592,763,Amine oxidase.
9685.ENSFCAP00000051172,RPL41,25,Ribosomal protein L41.
9685.ENSFCAP00000051177,FOXN2,439,Forkhead box N2.
9685.ENSFCAP00000051179,P4HA3,544,Prolyl 4-hydroxylase subunit alpha 3.
9685.ENSFCAP00000051181,SYNE2,3641,KASH domain-containing protein.
9685.ENSFCAP00000051185,BMP4,409,Bone morphogenetic protein 4.
9685.ENSFCAP00000051187,ENSFCAP00000051187,300,Uncharacterized protein.
9685.ENSFCAP00000051189,TMSB10,44,Thymosin beta; Plays an important role in the organization of the cytoskeleton. Binds to and sequesters actin monomers (G actin) and therefore inhibits actin polymerization. Belongs to the thymosin beta family.
9685.ENSFCAP00000051193,LY6L,131,Lymphocyte antigen 6 family member L.
9685.ENSFCAP00000051197,ZBTB3,515,Zinc finger and BTB domain containing 3.
9685.ENSFCAP00000051209,TRMT44,739,tRNA methyltransferase 44 homolog.
9685.ENSFCAP00000051213,HJURP,726,Holliday junction recognition protein.
9685.ENSFCAP00000051216,C1QL3,255,Complement C1q like 3.
9685.ENSFCAP00000051217,BAALC,145,BAALC binder of MAP3K1 and KLF4.
9685.ENSFCAP00000051222,TRAF3IP2,567,TRAF3 interacting protein 2.
9685.ENSFCAP00000051223,LOC105260084,1702,Uncharacterized protein.
9685.ENSFCAP00000051226,PROK1,154,Prokineticin 1.
9685.ENSFCAP00000051227,ENSFCAP00000051227,56,Uncharacterized protein.
9685.ENSFCAP00000051230,CTBS,379,Chitobiase; Belongs to the glycosyl hydrolase 18 family.
9685.ENSFCAP00000051234,MYO5A,1855,Myosin VA; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family.
9685.ENSFCAP00000051238,RGS7,481,Regulator of G protein signaling 7.
9685.ENSFCAP00000051239,DLGAP2,1029,DLG associated protein 2.
9685.ENSFCAP00000051242,C4orf51,202,Chromosome 4 open reading frame 51.
9685.ENSFCAP00000051244,PIFO,302,Uncharacterized protein.
9685.ENSFCAP00000051249,FAM71B,601,Family with sequence similarity 71 member B.
9685.ENSFCAP00000051251,ENSFCAP00000051251,81,Uncharacterized protein.
9685.ENSFCAP00000051252,CHCHD4,141,CHCH domain-containing protein.
9685.ENSFCAP00000051255,LOC105260083,786,LRRC37AB_C domain-containing protein.
9685.ENSFCAP00000051257,ENSFCAP00000051257,136,Uncharacterized protein.
9685.ENSFCAP00000051265,PPIH,177,Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides; Belongs to the cyclophilin-type PPIase family.
9685.ENSFCAP00000051267,STMN1,149,Stathmin; Belongs to the stathmin family.
9685.ENSFCAP00000051272,ENSFCAP00000051272,277,Phospholipid scramblase; May mediate accelerated ATP-independent bidirectional transbilayer migration of phospholipids upon binding calcium ions that results in a loss of phospholipid asymmetry in the plasma membrane. Belongs to the phospholipid scramblase family.
9685.ENSFCAP00000051277,ILRUN,291,Inflammation and lipid regulator with UBA-like and NBR1-like domains.
9685.ENSFCAP00000051278,Prm1,50,Sperm protamine P1; Protamines substitute for histones in the chromatin of sperm during the haploid phase of spermatogenesis. They compact sperm DNA into a highly condensed, stable and inactive complex.
9685.ENSFCAP00000051280,AMER3,711,APC membrane recruitment protein 3.
9685.ENSFCAP00000051281,RNF214,705,Ring finger protein 214.
9685.ENSFCAP00000051282,ENSFCAP00000051282,159,UBIQUITIN_CONJUGAT_2 domain-containing protein.
9685.ENSFCAP00000051287,IER5,319,Immediate early response 5.
9685.ENSFCAP00000051290,TNFSF10,347,TNF_2 domain-containing protein; Belongs to the tumor necrosis factor family.
9685.ENSFCAP00000051292,RNF149,399,Ring finger protein 149.
9685.ENSFCAP00000051293,ZBED3,236,Zinc finger BED-type containing 3.
9685.ENSFCAP00000051295,THSD4,1021,Thrombospondin type 1 domain containing 4.
9685.ENSFCAP00000051296,NME9,397,NME/NM23 family member 9; Belongs to the NDK family.
9685.ENSFCAP00000051297,ZIC5,661,Zic family member 5.
9685.ENSFCAP00000051300,OLA1-2,429,Obg-like ATPase 1; Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP.
9685.ENSFCAP00000051301,VEZF1,583,Vascular endothelial zinc finger 1.
9685.ENSFCAP00000051306,KIFBP,620,KIF1 binding protein.
9685.ENSFCAP00000051308,TMPRSS12,348,Transmembrane serine protease 12; Belongs to the peptidase S1 family.
9685.ENSFCAP00000051310,ENSFCAP00000051310,220,Fork-head domain-containing protein.
9685.ENSFCAP00000051315,TMEM217,192,Transmembrane protein 217.
9685.ENSFCAP00000051316,LOC101086255,319,Olfactory receptor.
9685.ENSFCAP00000051321,NDUFAF8,74,Uncharacterized protein.
9685.ENSFCAP00000051322,LOC101095239,375,Uncharacterized protein.
9685.ENSFCAP00000051323,HES1,280,Hes family bHLH transcription factor 1.
9685.ENSFCAP00000051325,ENSFCAP00000051325,311,Olfactory receptor.
9685.ENSFCAP00000051326,ITGAV,1047,Integrin subunit alpha V; Belongs to the integrin alpha chain family.
9685.ENSFCAP00000051328,OSER1,292,Oxidative stress responsive serine rich 1.
9685.ENSFCAP00000051340,ZC3H18,960,Zinc finger CCCH-type containing 18.
9685.ENSFCAP00000051341,CCND1,312,Cyclin D1; Belongs to the cyclin family.
9685.ENSFCAP00000051343,ENSFCAP00000051343,138,Uncharacterized protein.
9685.ENSFCAP00000051345,RGS6,549,Regulator of G protein signaling 6.
9685.ENSFCAP00000051347,SOX4,459,Transcription factor SOX.
9685.ENSFCAP00000051349,C16orf72,275,Chromosome 16 open reading frame 72.
9685.ENSFCAP00000051352,UBE2J2,259,UBIQUITIN_CONJUGAT_2 domain-containing protein.
9685.ENSFCAP00000051355,STPG1,356,Sperm tail PG-rich repeat containing 1.
9685.ENSFCAP00000051357,TEX47,253,Testis expressed 47.
9685.ENSFCAP00000051358,RBM20,1234,RNA binding motif protein 20.
9685.ENSFCAP00000051362,NDUFA4L2,91,NDUFA4 mitochondrial complex associated like 2.
9685.ENSFCAP00000051363,ZFP57,374,Uncharacterized protein.
9685.ENSFCAP00000051366,OVCA2,268,OVCA2 serine hydrolase domain containing.
9685.ENSFCAP00000051368,TTBK1,1314,Tau tubulin kinase 1.
9685.ENSFCAP00000051373,CHRAC1,56,CBFD_NFYB_HMF domain-containing protein.
9685.ENSFCAP00000051374,RAB36,388,RAB36, member RAS oncogene family.
9685.ENSFCAP00000051375,LOC101082235-6,126,Histone H2B type 1.
9685.ENSFCAP00000051378,CTBP2,977,C-terminal binding protein 2.
9685.ENSFCAP00000051382,LOC101085206,132,Histone H2A; Belongs to the histone H2A family.
9685.ENSFCAP00000051384,GDF7,455,Growth differentiation factor 7.
9685.ENSFCAP00000051392,TSG101,400,Tumor susceptibility 101.
9685.ENSFCAP00000051394,ENSFCAP00000051394,71,Uncharacterized protein.
9685.ENSFCAP00000051397,NR2C2AP,169,Nuclear receptor 2C2 associated protein.
9685.ENSFCAP00000051407,STRAP,350,WD_REPEATS_REGION domain-containing protein.
9685.ENSFCAP00000051411,LOC111560444,250,Ig-like domain-containing protein; Belongs to the MHC class II family.
9685.ENSFCAP00000051416,HBM,141,Hemoglobin subunit mu; Belongs to the globin family.
9685.ENSFCAP00000051420,SKA1,255,Spindle and kinetochore associated complex subunit 1.
9685.ENSFCAP00000051421,MRPS14,128,Mitochondrial ribosomal protein S14.
9685.ENSFCAP00000051423,KRR1,386,KRR1 small subunit processome component; Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly.
9685.ENSFCAP00000051424,CYP4B1,512,Cytochrome P450 family 4 subfamily B member 1; Belongs to the cytochrome P450 family.
9685.ENSFCAP00000051428,SMIM10,84,Small integral membrane protein 10.
9685.ENSFCAP00000051431,ENSFCAP00000051431,289,Uncharacterized protein.
9685.ENSFCAP00000051435,PSME3,265,Uncharacterized protein.
9685.ENSFCAP00000051438,PPP2R5E,467,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit; The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment.
9685.ENSFCAP00000051440,MYMK,221,Myomaker, myoblast fusion factor.
9685.ENSFCAP00000051441,HACL1,581,2-hydroxyacyl-CoA lyase 1; Belongs to the TPP enzyme family.
9685.ENSFCAP00000051443,RPS27L,100,40S ribosomal protein S27.
9685.ENSFCAP00000051449,KCNK13,444,Potassium two pore domain channel subfamily K member 13; Belongs to the two pore domain potassium channel (TC 1.A.1.8) family.
9685.ENSFCAP00000051451,DGKZ,1119,Diacylglycerol kinase.
9685.ENSFCAP00000051454,PEX5L,626,Peroxisomal biogenesis factor 5 like.
9685.ENSFCAP00000051456,OTX1,355,Orthodenticle homeobox 1.
9685.ENSFCAP00000051459,MYO1D,1006,Myosin ID; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family.
9685.ENSFCAP00000051466,GIGYF2,1302,GRB10 interacting GYF protein 2.
9685.ENSFCAP00000051468,ENSFCAP00000051468,152,Ribosomal_L28e domain-containing protein.
9685.ENSFCAP00000051472,RAB6A,208,RAB6A, member RAS oncogene family.
9685.ENSFCAP00000051473,ADIG,81,Adipogenin.
9685.ENSFCAP00000051480,LOC109492323,137,Uncharacterized protein.
9685.ENSFCAP00000051482,HOXA13,389,Homeobox A13.
9685.ENSFCAP00000051483,SUPT20H,858,SPT20 homolog, SAGA complex component.
9685.ENSFCAP00000051487,INSL3,131,IlGF domain-containing protein.
9685.ENSFCAP00000051489,OPN4,487,Melanopsin; Photoreceptor required for regulation of circadian rhythm. Contributes to pupillar reflex and other non-image forming responses to light. May be able to isomerize covalently bound all-trans retinal back to 11-cis retinal (By similarity).
9685.ENSFCAP00000051490,RAB27A,221,RAB27A, member RAS oncogene family.
9685.ENSFCAP00000051495,AREL1,823,Apoptosis resistant E3 ubiquitin protein ligase 1.
9685.ENSFCAP00000051499,ENSFCAP00000051499,292,Uncharacterized protein.
9685.ENSFCAP00000051501,SKAP1,398,Src kinase associated phosphoprotein 1.
9685.ENSFCAP00000051504,ZG16B,186,Jacalin-type lectin domain-containing protein.
9685.ENSFCAP00000051506,SPATA17,379,Spermatogenesis associated 17.
9685.ENSFCAP00000051509,LOC101086027,504,Uncharacterized protein.
9685.ENSFCAP00000051511,TAFA5,202,TAFA chemokine like family member 5.
9685.ENSFCAP00000051513,STOX2,926,Storkhead box 2.
9685.ENSFCAP00000051514,LOC101081743,560,Myotubularin phosphatase domain-containing protein.
9685.ENSFCAP00000051515,EVI5L,865,Ecotropic viral integration site 5 like.
9685.ENSFCAP00000051516,ENSFCAP00000051516,94,Uncharacterized protein.
9685.ENSFCAP00000051519,TMEM54,294,Transmembrane protein 54.
9685.ENSFCAP00000051521,FGF1,170,Multifunctional fusion protein; Plays an important role in the regulation of cell survival, cell division, angiogenesis, cell differentiation and cell migration. Functions as potent mitogen in vitro. Acts as a ligand for FGFR1 and integrins. Binds to FGFR1 in the presence of heparin leading to FGFR1 dimerization and activation via sequential autophosphorylation on tyrosine residues which act as docking sites for interacting proteins, leading to the activation of several signaling cascades. Binds to integrins. Its binding to integrins and subsequent ternary complex formation with integr [...] 
9685.ENSFCAP00000051524,KLHL31,664,Kelch like family member 31.
9685.ENSFCAP00000051525,CNNM1,1054,Cyclin and CBS domain divalent metal cation transport mediator 1.
9685.ENSFCAP00000051526,USP3,535,Ubiquitin carboxyl-terminal hydrolase; Deubiquitinating enzyme that removes conjugated ubiquitin from specific proteins to regulate different cellular processes. Belongs to the peptidase C19 family.
9685.ENSFCAP00000051528,F8A1,376,Uncharacterized protein.
9685.ENSFCAP00000051529,C8orf89,200,Chromosome 8 open reading frame 89.
9685.ENSFCAP00000051531,LOC111556177,499,Ig-like domain-containing protein; Belongs to the MHC class I family.
9685.ENSFCAP00000051532,CYP2D6,541,Uncharacterized protein; Belongs to the cytochrome P450 family.
9685.ENSFCAP00000051533,DNAJB2,325,DnaJ heat shock protein family (Hsp40) member B2.
9685.ENSFCAP00000051535,LOC101101505,259,Uncharacterized protein.
9685.ENSFCAP00000051536,APH1B,516,Uncharacterized protein.
9685.ENSFCAP00000051541,RARRES2,451,Retinoic acid receptor responder 2.
9685.ENSFCAP00000051546,ENSFCAP00000051546,80,Uncharacterized protein.
9685.ENSFCAP00000051551,HYI,305,Putative hydroxypyruvate isomerase; Catalyzes the reversible isomerization between hydroxypyruvate and 2-hydroxy-3-oxopropanoate (also termed tartronate semialdehyde); Belongs to the hyi family.
9685.ENSFCAP00000051552,CC1H1orf94,612,Chromosome C1 C1orf94 homolog.
9685.ENSFCAP00000051553,TMEM200C,683,Transmembrane protein 200C.
9685.ENSFCAP00000051557,LOC101096285,352,Olfactory receptor.
9685.ENSFCAP00000051559,CENPF,3094,Centromere protein F.
9685.ENSFCAP00000051560,LRMDA,236,Leucine rich melanocyte differentiation associated.
9685.ENSFCAP00000051561,MEGF11,1209,Multiple EGF like domains 11.
9685.ENSFCAP00000051566,MIS18A,271,MIS18 kinetochore protein A.
9685.ENSFCAP00000051568,CENPH,257,Centromere protein H.
9685.ENSFCAP00000051571,LSM3-3,114,U6 snRNA-associated Sm-like protein LSm3; Binds specifically to the 3'-terminal U-tract of U6 snRNA.
9685.ENSFCAP00000051573,IMPA1,318,Inositol-1-monophosphatase.
9685.ENSFCAP00000051575,MRPL38,535,Mitochondrial ribosomal protein L38.
9685.ENSFCAP00000051579,ZFP42,185,Uncharacterized protein.
9685.ENSFCAP00000051585,ENSFCAP00000051585,290,Ig-like domain-containing protein.
9685.ENSFCAP00000051592,LTA4H,619,Leukotriene A(4) hydrolase; Belongs to the peptidase M1 family.
9685.ENSFCAP00000051593,PLXNA4,1893,Plexin A4.
9685.ENSFCAP00000051594,ENSFCAP00000051594,102,Uncharacterized protein.
9685.ENSFCAP00000051600,ENSFCAP00000051600,233,Olfactomedin-like domain-containing protein.
9685.ENSFCAP00000051606,SLC7A3,877,AA_permease_C domain-containing protein.
9685.ENSFCAP00000051607,ENSFCAP00000051607,587,AA_permease_C domain-containing protein.
9685.ENSFCAP00000051613,OPHN1,823,Oligophrenin 1.
9685.ENSFCAP00000051614,LSM14B,424,LSM family member 14B.
9685.ENSFCAP00000051618,TM2D1,208,TM2 domain containing 1.
9685.ENSFCAP00000051620,SLC18A3,514,Solute carrier family 18 member A3.
9685.ENSFCAP00000051621,DENND2B,1184,Suppression of tumorigenicity 5.
9685.ENSFCAP00000051623,GPR34,380,G protein-coupled receptor 34; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000051627,ENSFCAP00000051627,99,Uncharacterized protein.
9685.ENSFCAP00000051628,MYT1L,1206,Myelin transcription factor 1 like.
9685.ENSFCAP00000051629,NR2F1,453,Nuclear receptor subfamily 2 group F member 1.
9685.ENSFCAP00000051631,LOC111559734,426,Bone morphogenetic protein 7.
9685.ENSFCAP00000051632,MRC1,1484,Mannose receptor C-type 1.
9685.ENSFCAP00000051634,SRRM2,2774,Serine/arginine repetitive matrix 2.
9685.ENSFCAP00000051636,TUBGCP6,1756,Tubulin gamma complex associated protein 6.
9685.ENSFCAP00000051637,ENSFCAP00000051637,314,Uncharacterized protein.
9685.ENSFCAP00000051638,NUCKS1,248,Nuclear casein kinase and cyclin dependent kinase substrate 1.
9685.ENSFCAP00000051643,CAPN15,1153,Calpain 15; Belongs to the peptidase C2 family.
9685.ENSFCAP00000051649,COMT,303,Catechol-O-methyltransferase.
9685.ENSFCAP00000051650,DIXDC1,690,DIX domain containing 1.
9685.ENSFCAP00000051654,PMVK,211,Phosphomevalonate kinase.
9685.ENSFCAP00000051661,SLC2A1,508,Solute carrier family 2 member 1; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
9685.ENSFCAP00000051662,JCHAIN,163,Joining chain of multimeric IgA and IgM.
9685.ENSFCAP00000051663,ENSFCAP00000051663,524,Uncharacterized protein.
9685.ENSFCAP00000051664,ENSFCAP00000051664,124,IGv domain-containing protein.
9685.ENSFCAP00000051665,ENSFCAP00000051665,574,CCHC-type domain-containing protein.
9685.ENSFCAP00000051666,APOBR,1525,Uncharacterized protein.
9685.ENSFCAP00000051669,ADGRF5,1387,Adhesion G protein-coupled receptor F5; Belongs to the G-protein coupled receptor 2 family.
9685.ENSFCAP00000051675,PLA2G7,491,Platelet-activating factor acetylhydrolase.
9685.ENSFCAP00000051676,VPS4A,448,Uncharacterized protein; Belongs to the AAA ATPase family.
9685.ENSFCAP00000051677,USP43,1102,Ubiquitin specific peptidase 43; Belongs to the peptidase C19 family.
9685.ENSFCAP00000051678,ENSFCAP00000051678,182,Uncharacterized protein.
9685.ENSFCAP00000051682,DGCR2,556,DiGeorge syndrome critical region gene 2.
9685.ENSFCAP00000051686,NBN,783,Nibrin; Component of the MRE11-RAD50-NBN (MRN complex) which plays a critical role in the cellular response to DNA damage and the maintenance of chromosome integrity. The complex is involved in double- strand break (DSB) repair, DNA recombination, maintenance of telomere integrity, cell cycle checkpoint control and meiosis.
9685.ENSFCAP00000051687,COL18A1,1518,Collagen type XVIII alpha 1 chain.
9685.ENSFCAP00000051688,MFRP,626,Membrane frizzled-related protein.
9685.ENSFCAP00000051689,ESYT3,927,Extended synaptotagmin 3.
9685.ENSFCAP00000051694,ENSFCAP00000051694,80,RING-type domain-containing protein.
9685.ENSFCAP00000051698,ENSFCAP00000051698,205,Uncharacterized protein.
9685.ENSFCAP00000051699,PROC,555,Vitamin K-dependent protein C; Protein C is a vitamin K-dependent serine protease that regulates blood coagulation by inactivating factors Va and VIIIa in the presence of calcium ions and phospholipids. Exerts a protective effect on the endothelial cell barrier function. Belongs to the peptidase S1 family.
9685.ENSFCAP00000051700,MED26,629,TFIIS N-terminal domain-containing protein.
9685.ENSFCAP00000051703,TRIM39,517,Tripartite motif containing 39.
9685.ENSFCAP00000051706,KLKB1,638,Kallikrein B1; Belongs to the peptidase S1 family.
9685.ENSFCAP00000051709,IDH3B,404,Isocitrate dehydrogenase [NAD] subunit, mitochondrial.
9685.ENSFCAP00000051712,ZBTB26,655,Zinc finger and BTB domain containing 26.
9685.ENSFCAP00000051716,ATF7,511,Uncharacterized protein.
9685.ENSFCAP00000051721,CHFR,833,Checkpoint with forkhead and ring finger domains.
9685.ENSFCAP00000051724,REC114,282,REC114 meiotic recombination protein.
9685.ENSFCAP00000051726,ADAMTS7,1566,ADAM metallopeptidase with thrombospondin type 1 motif 7.
9685.ENSFCAP00000051727,CEP152,1680,Centrosomal protein 152.
9685.ENSFCAP00000051728,ZSWIM1,442,Zinc finger SWIM-type containing 1.
9685.ENSFCAP00000051730,KNL1,2183,Kinetochore scaffold 1.
9685.ENSFCAP00000051737,INCA1,256,Inhibitor of CDK, cyclin A1 interacting protein 1.
9685.ENSFCAP00000051738,VWA2,778,Von Willebrand factor A domain containing 2.
9685.ENSFCAP00000051742,GPSM2,767,G protein signaling modulator 2.
9685.ENSFCAP00000051745,ENSFCAP00000051745,79,Uncharacterized protein.
9685.ENSFCAP00000051746,COMMD7,417,COMM domain-containing protein.
9685.ENSFCAP00000051748,ENSFCAP00000051748,59,Uncharacterized protein.
9685.ENSFCAP00000051749,TMEM209,614,Transmembrane protein 209.
9685.ENSFCAP00000051751,MYLK2,742,Myosin light chain kinase 2.
9685.ENSFCAP00000051752,ENSFCAP00000051752,859,Uncharacterized protein.
9685.ENSFCAP00000051756,NQO2,236,N-ribosyldihydronicotinamide:quinone reductase 2.
9685.ENSFCAP00000051757,CD3H18orf54,539,Chromosome D3 C18orf54 homolog.
9685.ENSFCAP00000051760,HSF2,535,Heat shock transcription factor 2.
9685.ENSFCAP00000051761,ENSFCAP00000051761,189,Uncharacterized protein.
9685.ENSFCAP00000051766,CLEC2L,491,C-type lectin domain family 2 member L.
9685.ENSFCAP00000051767,CACNA1D,2216,Voltage-dependent L-type calcium channel subunit alpha; Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death; Belongs to the calcium channel alpha-1 subunit (TC 1.A.1.11) family.
9685.ENSFCAP00000051769,EIPR1,445,EARP complex and GARP complex interacting protein 1.
9685.ENSFCAP00000051772,NRXN1,1507,Neurexin 1.
9685.ENSFCAP00000051774,TMOD2,440,Tropomodulin 3.
9685.ENSFCAP00000051776,FGFR1OP,732,FGFR1 oncogene partner.
9685.ENSFCAP00000051777,ENSFCAP00000051777,423,Uncharacterized protein.
9685.ENSFCAP00000051779,FYCO1,1459,FYVE and coiled-coil domain containing 1.
9685.ENSFCAP00000051780,UTP11,310,UTP11 small subunit processome component.
9685.ENSFCAP00000051781,PBXIP1,684,PBX homeobox interacting protein 1.
9685.ENSFCAP00000051782,MIB2,957,Mindbomb E3 ubiquitin protein ligase 2.
9685.ENSFCAP00000051783,MRM2,318,Mitochondrial rRNA methyltransferase 2.
9685.ENSFCAP00000051784,APCDD1L,584,APC down-regulated 1 like.
9685.ENSFCAP00000051786,YAF2,279,YY1 associated factor 2.
9685.ENSFCAP00000051790,FSTL3,364,Follistatin like 3.
9685.ENSFCAP00000051792,ENSFCAP00000051792,62,Uncharacterized protein.
9685.ENSFCAP00000051800,TRAF1,433,TNF receptor-associated factor.
9685.ENSFCAP00000051807,YIPF3,353,Yip1 domain family member 3.
9685.ENSFCAP00000051810,LOC101098061,902,Uncharacterized protein.
9685.ENSFCAP00000051814,LDHD,566,Lactate dehydrogenase D.
9685.ENSFCAP00000051816,TRAF3IP1,721,TRAF3 interacting protein 1.
9685.ENSFCAP00000051817,PRRT4,997,Proline rich transmembrane protein 4.
9685.ENSFCAP00000051822,ENSFCAP00000051822,446,Uncharacterized protein.
9685.ENSFCAP00000051826,TPCN2,757,Two pore segment channel 2.
9685.ENSFCAP00000051830,PAF1,602,PAF1 homolog, Paf1/RNA polymerase II complex component.
9685.ENSFCAP00000051831,TFCP2L1,533,Transcription factor CP2 like 1.
9685.ENSFCAP00000051834,ENSFCAP00000051834,777,Uncharacterized protein.
9685.ENSFCAP00000051837,ENSFCAP00000051837,195,Ig-like domain-containing protein.
9685.ENSFCAP00000051838,JAZF1,250,JAZF zinc finger 1.
9685.ENSFCAP00000051843,PEF1,297,Penta-EF-hand domain containing 1.
9685.ENSFCAP00000051845,ENSFCAP00000051845,146,Uncharacterized protein.
9685.ENSFCAP00000051847,SCN3A,1980,Sodium channel protein; Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient.
9685.ENSFCAP00000051850,CALCB,180,CALCITONIN domain-containing protein.
9685.ENSFCAP00000051856,MPV17L2,217,MPV17 mitochondrial inner membrane protein like 2; Belongs to the peroxisomal membrane protein PXMP2/4 family.
9685.ENSFCAP00000051857,TTN,27108,Titin.
9685.ENSFCAP00000051859,ZIC3,553,Zic family member 3.
9685.ENSFCAP00000051861,NR1H3,498,Nuclear receptor subfamily 1 group H member 3.
9685.ENSFCAP00000051865,ENSFCAP00000051865,166,Ig-like domain-containing protein.
9685.ENSFCAP00000051867,CEP192,2539,Centrosomal protein 192.
9685.ENSFCAP00000051868,ENSFCAP00000051868,71,Uncharacterized protein.
9685.ENSFCAP00000051869,SH3D21,664,SH3 domain containing 21.
9685.ENSFCAP00000051870,LY6K,136,UPAR/Ly6 domain-containing protein.
9685.ENSFCAP00000051873,ARID3B,581,AT-rich interaction domain 3B.
9685.ENSFCAP00000051877,BICRA,1475,BRD4 interacting chromatin remodeling complex associated protein.
9685.ENSFCAP00000051880,ANKMY2,497,Ankyrin repeat and MYND domain containing 2.
9685.ENSFCAP00000051882,ENSFCAP00000051882,130,EF-hand domain-containing protein.
9685.ENSFCAP00000051884,A1BG,542,Alpha-1-B glycoprotein.
9685.ENSFCAP00000051885,SOWAHC,549,Sosondowah ankyrin repeat domain family member C.
9685.ENSFCAP00000051888,PRR13,144,Proline rich 13.
9685.ENSFCAP00000051890,LOC101090527,320,Taste receptor type 2.
9685.ENSFCAP00000051897,LOC101084108,344,Ig-like domain-containing protein; Belongs to the MHC class II family.
9685.ENSFCAP00000051910,SRRM5,692,Uncharacterized protein.
9685.ENSFCAP00000051911,KLF8,347,Kruppel like factor 8.
9685.ENSFCAP00000051912,KLHL9,584,Kelch like family member 9.
9685.ENSFCAP00000051914,ANKRD7,302,ANK_REP_REGION domain-containing protein.
9685.ENSFCAP00000051916,PITPNC1,332,Phosphatidylinositol transfer protein cytoplasmic 1.
9685.ENSFCAP00000051917,ENSFCAP00000051917,288,MAGE domain-containing protein.
9685.ENSFCAP00000051919,ENSFCAP00000051919,739,Reverse transcriptase domain-containing protein.
9685.ENSFCAP00000051920,ENSFCAP00000051920,135,Uncharacterized protein.
9685.ENSFCAP00000051921,DNER,744,Delta/notch like EGF repeat containing.
9685.ENSFCAP00000051925,ENSFCAP00000051925,197,NAC-A/B domain-containing protein.
9685.ENSFCAP00000051927,GMPS,797,Guanine monophosphate synthase.
9685.ENSFCAP00000051930,FNDC8,519,Fibronectin type III domain containing 8.
